no,feature,idf
265,asisten,7.349138991379798
266,asli,6.943673883271633
267,asmul,7.349138991379798
268,ass,6.250526702711688
269,assalam,7.349138991379798
270,assalamu,6.250526702711688
271,assalamualaikum,6.09637602288443
272,asumsi,7.349138991379798
273,asuransi,6.655991810819852
274,at,6.250526702711688
275,atas,5.845061594603524
276,atay,7.349138991379798
277,atm,6.943673883271633
278,ato,6.432848259505643
279,atuh,6.250526702711688
280,atuhlah,7.349138991379798
281,atulah,7.349138991379798
282,atur,7.349138991379798
283,aty,7.349138991379798
284,aug,6.250526702711688
285,aunul,7.349138991379798
286,avanza,5.962844630259907
287,aware,7.349138991379798
288,awas,6.655991810819852
289,away,7.349138991379798
290,awet,7.349138991379798
291,axiata,7.349138991379798
292,axis,5.739701078945697
293,axis-promo,6.09637602288443
294,axismu,7.349138991379798
295,axisnet,6.943673883271633
296,axisworld,7.349138991379798
297,aya,6.943673883271633
298,ayah,6.655991810819852
299,ayam,5.962844630259907
300,ayena,7.349138991379798
301,ayeuna,7.349138991379798
302,ayo,4.710081661764539
303,ayo-bonus,5.962844630259907
304,ayo-bonus-isi,5.962844630259907
305,ayo-buru,6.250526702711688
306,ayo-buru-bonus,6.250526702711688
307,ayo-buru-bonus-isi,6.250526702711688
308,ayo-buru-isi,6.250526702711688
309,ayo-isi,5.557379522151743
310,ayo-kuota,6.250526702711688
311,ayo-ld,6.09637602288443
312,ayo-ulang,5.962844630259907
313,ayook,7.349138991379798
314,ayu,6.432848259505643
315,ayyuuuukk,7.349138991379798
316,baa,7.349138991379798
317,bab,7.349138991379798
318,babakaran,7.349138991379798
319,baberque,7.349138991379798
320,baca,6.655991810819852
321,backup,7.349138991379798
322,bagi,6.432848259505643
323,bagus,6.250526702711688
324,bahagia,6.943673883271633
325,bahan,7.349138991379798
326,bahas,6.943673883271633
327,bahaya,7.349138991379798
328,bahri,7.349138991379798
329,baik,6.250526702711688
330,bakar,6.432848259505643
331,bakmi,7.349138991379798
332,bakti,7.349138991379798
333,bal,6.432848259505643
334,balai,7.349138991379798
335,balas,5.6443908991413725
336,ball,7.349138991379798
337,balon,7.349138991379798
338,bambang,7.349138991379798
339,bandar,7.349138991379798
340,bandara,6.943673883271633
341,bandros,7.349138991379798
342,bandung,5.739701078945697
343,bandungg,7.349138991379798
344,bang,7.349138991379798
345,banget,5.557379522151743
346,bangun,7.349138991379798
347,bank,4.864232341591798
348,bankbni,7.349138991379798
349,bank-no,5.403228842324484
350,bank-no-rek,5.557379522151743
351,bank-rek,5.477336814478207
352,bank-sms-uang,5.845061594603524
353,bank-uang,5.739701078945697
354,banting,7.349138991379798
355,bantu,6.250526702711688
356,bantuin,7.349138991379798
357,banyak,7.349138991379798
358,bapa,5.739701078945697
359,bapak,6.943673883271633
360,barang,6.943673883271633
361,bareng,6.250526702711688
362,barokah,7.349138991379798
363,baru,5.845061594603524
364,baruq,7.349138991379798
365,barusan,7.349138991379798
366,basdat,7.349138991379798
367,baskin,7.349138991379798
368,batam,7.349138991379798
369,batas,5.151914414043579
370,batasfup,7.349138991379798
371,batas-gb,6.250526702711688
372,batas-promo,5.739701078945697
373,batas-sms,6.09637602288443
374,batas-ussdphonenumber,5.845061594603524
375,bati,7.349138991379798
376,batin,6.655991810819852
377,batman,7.349138991379798
378,bawa,5.269697449699962
379,bawah,7.349138991379798
380,bawain,7.349138991379798
381,bayang,7.349138991379798
382,bayar,5.097847192773303
383,bayu,7.349138991379798
384,bb,5.046553898385752
385,bb-blackberry,5.845061594603524
386,bb-dakota,5.477336814478207
387,bb-dakota-gemini,5.845061594603524
388,bb-dakota-gemini-jt,5.845061594603524
389,bb-dakota-gemini-nomorponselstring,5.962844630259907
390,bb-dakota-jt,5.477336814478207
391,bb-dakota-jt-pin,5.845061594603524
392,bb-dakota-pin,5.845061594603524
393,bb-dll,5.739701078945697
394,bb-domainwebsite,5.557379522151743
395,bb-domainwebsite-dakota,5.962844630259907
396,bb-domainwebsite-dakota-jt,5.962844630259907
397,bb-domainwebsite-dll,5.962844630259907
398,bb-domainwebsite-jt,5.739701078945697
399,bb-domainwebsite-jt-pin,5.845061594603524
400,bb-domainwebsite-nomorponselstring,5.845061594603524
401,bb-domainwebsite-nomorponselstring-jt,5.962844630259907
402,bb-domainwebsite-nomorponselstring-pin,5.962844630259907
403,bb-domainwebsite-pin,5.739701078945697
404,bb-gemini,5.739701078945697
405,bb-gemini-jt,5.739701078945697
406,bb-info,5.845061594603524
407,bb-info-pin,5.962844630259907
408,bb-jt,5.269697449699962
409,bb-jt-dll,5.962844630259907
410,bb-jt-pin,5.557379522151743
411,bb-jt-pin-dakota-nomorponselstring,5.962844630259907
412,bb-jt-pin-nomorponselstring-domainwebsite,5.962844630259907
413,bb-laptop,5.962844630259907
414,bb-nomorponselstring,5.269697449699962
415,bb-nomorponselstring-dakota,5.6443908991413725
416,bb-nomorponselstring-dakota-jt,5.6443908991413725
417,bb-nomorponselstring-dakota-pin,5.962844630259907
418,bb-nomorponselstring-gemini,5.962844630259907
419,bb-nomorponselstring-gemini-jt,5.962844630259907
420,bb-nomorponselstring-jt,5.477336814478207
421,bb-nomorponselstring-jt-pin,5.739701078945697
422,bb-nomorponselstring-pin,5.557379522151743
423,bb-onyx,5.962844630259907
424,bb-pin,5.3342359708375335
425,bb-pin-dll,5.962844630259907
426,bb-promo,5.739701078945697
427,bb-promo-nomorponselstring,5.845061594603524
428,bb-sms,5.845061594603524
429,bb-sms-jt,5.962844630259907
430,bb-sms-nomorponselstring,5.845061594603524
431,bb-sms-nomorponselstring-jt,5.962844630259907
432,bbm,6.250526702711688
433,bbrp,6.943673883271633
434,bc,7.349138991379798
435,bca,6.655991810819852
436,bddf,7.349138991379798
437,bdg,6.943673883271633
438,bdo,7.349138991379798
439,beaok,7.349138991379798
440,beban,7.349138991379798
441,bebas,5.6443908991413725
442,bebek,6.432848259505643
443,beberes,7.349138991379798
444,beda,6.432848259505643
445,bee,7.349138991379798
446,bekal,6.943673883271633
447,bekerjasama,7.349138991379798
448,belah,6.943673883271633
449,belanja,6.250526702711688
450,beli,4.071994258387621
451,beliau,6.250526702711688
452,beli-app-buru-telkomsel-my-flash,6.250526702711688
453,beli-app-telkomsel-my-flash,6.250526702711688
454,beli-buru-app-my-flash,6.250526702711688
455,beli-buru-app-telkomsel-flash,6.250526702711688
456,beli-buru-app-telkomsel-my,6.250526702711688
457,beli-buru-telkomsel-my-flash,6.250526702711688
458,beli-dg,6.250526702711688
459,beli-extra,5.6443908991413725
460,beli-extra-app-buru-telkomsel-my-flash,6.250526702711688
461,beli-extra-app-me-tsel,6.250526702711688
462,beli-extra-app-my-flash,6.250526702711688
463,beli-extra-app-telkomsel-flash,6.250526702711688
464,beli-extra-app-telkomsel-my,6.09637602288443
465,beli-extra-app-telkomsel-my-flash,6.250526702711688
466,beli-extra-buru-app-flash,6.250526702711688
467,beli-extra-buru-app-my,6.250526702711688
468,beli-extra-buru-app-my-flash,6.250526702711688
469,beli-extra-buru-app-telkomsel,6.250526702711688
470,beli-extra-buru-app-telkomsel-flash,6.250526702711688
471,beli-extra-buru-app-telkomsel-my,6.250526702711688
472,beli-extra-buru-my-flash,6.250526702711688
473,beli-extra-buru-telkomsel-flash,6.250526702711688
474,beli-extra-buru-telkomsel-my,6.250526702711688
475,beli-extra-buru-telkomsel-my-flash,6.250526702711688
476,beli-extra-flash,5.845061594603524
477,beli-extra-lte,6.250526702711688
478,beli-extra-me-tsel-flash,6.09637602288443
479,beli-extra-my,6.09637602288443
480,beli-extra-promo-app-my,6.250526702711688
481,beli-extra-promo-app-telkomsel,6.250526702711688
482,beli-extra-promo-app-telkomsel-my,6.250526702711688
483,beli-extra-promo-telkomsel-my,6.250526702711688
484,beli-extra-rb-me-tsel,6.250526702711688
485,beli-extra-telkomsel-my-flash,6.250526702711688
486,beli-flash,5.269697449699962
487,beli-flash-my,6.250526702711688
488,beli-jajanonline,5.962844630259907
489,beli-jajanonline-http-me-tsel,5.962844630259907
490,beli-jajanonline-pulsa-http-tsel,5.962844630259907
491,beli-jajanonline-pulsa-me-http,5.962844630259907
492,beli-jajanonline-pulsa-me-http-tsel,5.962844630259907
493,beli-jajanonline-pulsa-me-tsel,5.962844630259907
494,beli-kuota,5.845061594603524
495,beli-line,6.09637602288443
496,beli-lte,6.250526702711688
497,beli-my,6.09637602288443
498,beli-promo-app-telkomsel-my,6.250526702711688
499,beli-pulsa-me-http-tsel,5.962844630259907
500,beli-rb-rp-me-tsel,6.250526702711688
501,beli-rp-me-tsel-flash,6.250526702711688
502,beli-telkomsel,5.962844630259907
503,beli-telkomsel-flash,6.250526702711688
504,beli-telkomsel-my,6.09637602288443
505,beli-tsel,4.951243718581427
506,beli-tsel-dg,6.250526702711688
507,beli-tsel-flash,5.6443908991413725
508,beli-tsel-kuota,6.09637602288443
509,beli-tsel-lte,6.250526702711688
510,belikan,6.432848259505643
511,belikn,7.349138991379798
512,beliung,7.349138991379798
513,bella,7.349138991379798
514,belok,7.349138991379798
515,bener,6.943673883271633
516,beneran,7.349138991379798
517,benerin,7.349138991379798
518,bensin,7.349138991379798
519,bentar,6.432848259505643
520,bentuk,7.349138991379798
521,ber,7.349138991379798
522,berangkat,6.432848259505643
523,berangkt,7.349138991379798
524,berangktnya,7.349138991379798
525,beranta,7.349138991379798
526,berapaa,7.349138991379798
527,beras,6.943673883271633
528,berat,6.943673883271633
529,beres,6.250526702711688
530,berfikir,7.349138991379798
531,berita,7.349138991379798
532,berkah,6.09637602288443
533,berkas,6.943673883271633
534,berkat,6.09637602288443
535,berrybenka,7.349138991379798
536,bersih,7.349138991379798
537,besar,6.943673883271633
538,besok,4.641088790277587
539,besoook,7.349138991379798
540,besto,7.349138991379798
541,between,7.349138991379798
542,beu,7.349138991379798
543,bfg,6.250526702711688
544,bfi,7.349138991379798
545,bg,7.349138991379798
546,bget,7.349138991379798
547,bgi,7.349138991379798
548,bgmana,7.349138991379798
549,bgt,5.845061594603524
550,bhs,6.943673883271633
551,bhw,7.349138991379798
552,bhwa,7.349138991379798
553,bi,7.349138991379798
554,biar,5.403228842324484
555,biasa,7.349138991379798
556,biasana,7.349138991379798
557,biaya,6.432848259505643
558,biber,7.349138991379798
559,bicara,6.943673883271633
560,bidang,7.349138991379798
561,big,6.250526702711688
562,bigo,7.349138991379798
563,bih,7.349138991379798
564,bikin,6.432848259505643
565,bilang,6.09637602288443
566,bima,7.349138991379798
567,bimatri,6.432848259505643
568,bimbing,5.845061594603524
569,bingung,6.09637602288443
570,bintang,7.349138991379798
571,bioskop,7.349138991379798
572,bip,7.349138991379798
573,birthday,6.943673883271633
574,bis,6.09637602288443
575,bisah,7.349138991379798
576,bisanga,7.349138991379798
577,bisnis,7.349138991379798
578,bisns,7.349138991379798
579,bit,6.09637602288443
580,biz,6.943673883271633
581,bjam,7.349138991379798
582,bkn,7.349138991379798
583,bl,6.432848259505643
584,blackberry,5.477336814478207
585,blackberry-pin,5.962844630259907
586,blanja,7.349138991379798
587,blg,6.655991810819852
588,bliin,7.349138991379798
589,bliung,7.349138991379798
590,blj,7.349138991379798
591,bljr,7.349138991379798
592,blm,5.477336814478207
593,bln,5.845061594603524
594,blog,7.349138991379798
595,blokir,7.349138991379798
596,bls,6.943673883271633
597,bmkg,7.349138991379798
598,bni,5.403228842324484
599,bns,7.349138991379798
600,bntar,7.349138991379798
601,bntr,6.943673883271633
602,bobo,7.349138991379798
603,bobok,7.349138991379798
604,bocor,7.349138991379798
605,bola,7.349138991379798
606,bolak,7.349138991379798
607,bole,7.349138991379798
608,bom,7.349138991379798
609,bonus,4.353406717825807
610,bonus-ayo-buru-pulsa-isi,6.250526702711688
611,bonus-indosat-ooredoo,5.962844630259907
612,bonus-isi,5.477336814478207
613,bonus-kuota,5.845061594603524
614,bonus-laku,5.557379522151743
615,bonus-ooredoo,5.962844630259907
616,bonus-ulang,5.739701078945697
617,booking,5.962844630259907
618,borma,7.349138991379798
619,bos,7.349138991379798
620,box,7.349138991379798
621,bpa,7.349138991379798
622,bpjs,7.349138991379798
623,bpk,4.9067919560105935
624,bpkb,6.432848259505643
625,bpr,7.349138991379798
626,br,7.349138991379798
627,brati,7.349138991379798
628,brencana,7.349138991379798
629,brg,6.943673883271633
630,brgkt,6.655991810819852
631,bri,5.269697449699962
632,bri-rek,5.962844630259907
633,britama,6.943673883271633
634,brminat,6.943673883271633
635,brngktnya,7.349138991379798
636,bro,6.432848259505643
637,bronet,5.739701078945697
638,bronet-aktif,5.739701078945697
639,bronet-info-rp-jam-aktif,6.09637602288443
640,bronet-ld,6.250526702711688
641,bronet-ld-aktif,6.250526702711688
642,bronetspecial,7.349138991379798
643,brp,5.845061594603524
644,brpa,7.349138991379798
645,brpnya,7.349138991379798
646,brsik,7.349138991379798
647,brunya,7.349138991379798
648,bs,5.962844630259907
649,bsa,6.943673883271633
650,bsedia,7.349138991379798
651,bsk,6.432848259505643
652,bsok,6.432848259505643
653,bt,7.349138991379798
654,btpn,6.655991810819852
655,bts,7.349138991379798
656,btw,6.943673883271633
657,bu,5.477336814478207
658,buat,6.943673883271633
659,budget,7.349138991379798
660,bug,6.943673883271633
661,bujuk,7.349138991379798
662,buka,6.09637602288443
663,bukalapak,7.349138991379798
664,bukti,6.432848259505643
665,buktikeun,7.349138991379798
666,buku,7.349138991379798
667,bulan,5.6443908991413725
668,bulet,7.349138991379798
669,bully,7.349138991379798
670,bumbu,7.349138991379798
671,bumiputera,7.349138991379798
672,bunas,7.349138991379798
673,bunda,7.349138991379798
674,bunga,5.477336814478207
675,bungkus,6.943673883271633
676,burger,7.349138991379798
677,bursa,7.349138991379798
678,buru,4.951243718581427
679,buru-app-extra-my,6.250526702711688
680,buru-app-flash-my,6.250526702711688
681,buru-app-my,6.250526702711688
682,buru-app-paket-my,6.250526702711688
683,buru-app-telkomsel-my,6.250526702711688
684,buru-app-telkomsel-my-flash,6.250526702711688
685,buru-beli,5.962844630259907
686,buru-beli-extra,6.250526702711688
687,buru-beli-extra-flash,6.250526702711688
688,buru-beli-extra-my,6.250526702711688
689,buru-beli-flash,6.09637602288443
690,buru-beli-flash-my,6.250526702711688
691,buru-beli-my,6.250526702711688
692,buru-beli-telkomsel,6.250526702711688
693,buru-beli-telkomsel-flash,6.250526702711688
694,buru-beli-telkomsel-my,6.250526702711688
695,buru-bonus,6.09637602288443
696,buru-bonus-isi,6.250526702711688
697,buru-extra,6.250526702711688
698,buru-extra-flash,6.250526702711688
699,buru-extra-my,6.250526702711688
700,buru-flash,6.09637602288443
701,buru-flash-my,6.250526702711688
702,buru-isi,6.250526702711688
703,buru-kuota,5.739701078945697
704,buru-my,6.250526702711688
705,buru-paket,5.6443908991413725
706,buru-paket-beli,6.09637602288443
707,buru-paket-beli-extra,6.250526702711688
708,buru-paket-beli-flash,6.09637602288443
709,buru-paket-beli-my,6.250526702711688
710,buru-paket-beli-telkomsel,6.250526702711688
711,buru-paket-extra,6.250526702711688
712,buru-paket-extra-flash,6.250526702711688
713,buru-paket-extra-my,6.250526702711688
714,buru-paket-flash,6.09637602288443
715,buru-paket-flash-my,6.250526702711688
716,buru-paket-my,6.250526702711688
717,buru-paket-telkomsel,6.250526702711688
718,buru-paket-telkomsel-flash,6.250526702711688
719,buru-paket-telkomsel-my,6.250526702711688
720,buru-telkomsel,6.250526702711688
721,buru-telkomsel-flash,6.250526702711688
722,buru-telkomsel-my,6.250526702711688
723,business,7.349138991379798
724,button,7.349138991379798
725,butuh,5.269697449699962
726,buy,7.349138991379798
727,bwrangkat,7.349138991379798
728,by,7.349138991379798
729,byk,7.349138991379798
730,byr,6.655991810819852
731,ca,7.349138991379798
732,cabai,7.349138991379798
733,cabe,7.349138991379798
734,cabut,7.349138991379798
735,cafe,7.349138991379798
736,cahaya,7.349138991379798
737,cair,7.349138991379798
738,call,5.209072827883527
739,call-ussdphonenumber,6.250526702711688
740,calon,7.349138991379798
741,cam,7.349138991379798
742,camera,6.250526702711688
743,cantik,6.943673883271633
744,cantum,6.943673883271633
745,capai,7.349138991379798
746,cape,7.349138991379798
747,cappuccino,7.349138991379798
748,card,5.962844630259907
749,care,4.053302125375469
750,care-domainwebsite-honda,5.962844630259907
751,care-domainwebsite-honda-pin,5.962844630259907
752,care-domainwebsite-jt,5.962844630259907
753,care-domainwebsite-jt-pin,5.962844630259907
754,care-domainwebsite-mendptkan,5.962844630259907
755,care-domainwebsite-mendptkan-hadiah,5.962844630259907
756,care-domainwebsite-mendptkan-pin,5.962844630259907
757,care-domainwebsite-selamat-tri,5.3342359708375335
758,care-domainwebsite-undi-selamat,5.845061594603524
759,care-dptkan,5.403228842324484
760,care-dptkan-pin,5.477336814478207
761,care-hadiah-honda,5.962844630259907
762,care-hadiah-honda-pin,5.962844630259907
763,care-hadiah-mendptkan,5.962844630259907
764,care-hadiah-mendptkan-pin,5.962844630259907
765,care-hadiah-selamat-tri,5.269697449699962
766,care-hadiah-undi-selamat,5.845061594603524
767,care-honda,5.739701078945697
768,care-honda-menang,5.962844630259907
769,care-honda-menang-pin,5.962844630259907
770,care-honda-menang-tri,5.962844630259907
771,care-honda-no,5.845061594603524
772,care-honda-no-pin,5.845061594603524
773,care-honda-no-tri,5.845061594603524
774,care-honda-pin,5.739701078945697
775,care-honda-tri,5.845061594603524
776,care-honda-tri-pin,5.845061594603524
777,care-jt,5.845061594603524
778,care-jt-pin,5.845061594603524
779,care-kunjung,5.557379522151743
780,care-kunjung-pin,5.6443908991413725
781,care-menang-honda-no,5.962844630259907
782,care-mendptkan,5.962844630259907
783,care-mendptkan-pin,5.962844630259907
784,care-no,4.431368259295519
